"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2020,5,162479453,33541135
2020,10,162479448,33541125
2020,18,162479472,33548821
2020,12,162476026,33541144
2020,20,162476031,33548825
2020,19,162476030,33548824
2020,20,162476015,33548823
2020,12,162476071,33548829
2020,12,162476074,33548830
2020,12,162475967,33541131
2020,10,162479565,33548835
2020,19,162479568,33541150
2020,20,162476118,33548837
2020,12,162476088,33548834
2020,12,162479581,33541153
2020,12,162476126,33541151
2020,2,162479580,33548839
2020,2,162479523,33548826
2020,22,162481189,33548845
2020,12,162479546,33541148
2020,18,162479546,33541147
2020,18,162479667,33541168
2020,12,162481213,33548851
2020,5,162481211,33541167
2020,2,162479682,33548841
2020,12,162481244,33541164
2020,19,162541638,33562869
2020,19,162546204,33567371
2020,12,162546310,33567404
2020,18,162541956,33562937
2020,18,162546616,33567474
2020,12,162542214,33563027
2020,12,162546655,33567485
2020,12,162542464,33563081
2020,3,162549285,33568172
2020,2,162542561,33567584
2020,12,162542639,33563135
2020,18,162544370,33563623
2020,3,162547155,33563145
2020,19,162547672,33563265
2020,18,162547881,33563302
2020,20,162548014,33567842
2020,3,162548274,33567902
2020,18,162548487,33567957
2020,12,162548583,33567990
2020,3,162548797,33568049
2020,3,162548793,33563487
2020,20,162544066,33563514
2020,19,162544190,33563561
2020,18,162544805,33563719
2020,19,162550117,33563768
2020,12,162550182,33568402
2020,12,162550453,33568469
2020,11,162550602,33568504
2020,9,162550908,33568577
2020,12,162551152,33568632
2020,12,162545970,33564004
2020,10,162551477,33564052
2020,9,162551477,33568720
2020,18,162551530,33564059
2020,12,162556436,33564104
2020,10,162556566,33568834
2020,12,162556566,33568837
2020,9,162556566,33568833
2020,18,162556605,33568847
2020,12,162556929,33564214
2020,10,162553651,33569237
2020,12,162553979,33569318
2020,12,162558258,33569347
2020,22,162554191,33569355
2020,12,162554230,33569368
2020,20,162554307,33569389
2020,18,162554455,33569426
2020,18,162554624,33569459
2020,12,162554675,33569469
2020,3,162555335,33569617
2020,3,162554681,33569472
2020,5,162558893,33564739
2020,12,162555681,33569694
2020,19,162555811,33564830
2020,2,162474885,33548631
2020,2,162475021,33548664
2020,12,162475178,33541001
2020,3,162475232,33541017
2020,2,162475442,33541063
2020,19,162475620,33548761
2020,20,162475909,33548811
2020,12,162476131,33548838
2020,20,162476122,33548836
2020,12,162481256,33541172
2020,12,162481249,33541171
2020,18,162481285,33548864
2020,3,162479728,33541178
2020,20,162481338,33548871
2020,18,162481350,33548875
2020,12,162481387,33541193
2020,5,162479832,33541194
2020,20,162481405,33548877
2020,19,162479867,33541203
2020,20,162479836,33541195
2020,12,162481450,33548887
2020,6,162481462,33548891
2020,2,162481464,33541209
