"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2020,134470497,148250091
2020,148406826,162532800
2020,134470500,148250094
2020,134470501,148250095
2020,134470502,148250096
2020,148407019,162536291
2020,148408701,162532919
2020,148407094,162536414
2020,134470505,148250101
2020,134470506,148250102
2020,148407075,162532986
2020,148408774,162536440
2020,148407105,162536440
2020,148408863,162536514
2020,148407301,162536637
2020,148406372,162532361
2020,148402315,162529562
2020,148402302,162529613
2020,148402302,162529611
2020,148405437,162529647
2020,148405437,162531448
2020,148408193,162532418
2020,148408261,162532459
2020,148408281,162532474
2020,148405512,162529748
2020,148406580,162530848
2020,148402455,162531589
2020,148402497,162531599
2020,148405616,162529853
2020,148405616,162531623
2020,148408383,162530879
2020,148402546,162531678
2020,148402546,162531677
2020,148402645,162530043
2020,148408406,162532610
2020,148408406,162530888
2020,148406642,162530929
2020,148408485,162531006
2020,148402657,162531793
2020,148402709,162531878
2020,148402720,162530131
2020,148402746,162531913
2020,148408484,162531005
2020,148406718,162531010
2020,148406729,162531024
2020,148406729,162532692
2020,148406082,162532008
2020,148406081,162532008
2020,148406155,162532130
2020,148407974,162530445
2020,148406753,162531055
2020,148406977,162536283
2020,148407007,162532857
2020,148406335,162532257
2020,148408713,162536338
2020,148408713,162536339
2020,148406351,162530602
2020,148408725,162536387
2020,148408754,162536419
2020,148407103,162536445
2020,148407245,162536506
2020,148408893,162533134
2020,148408902,162536632
2020,148408902,162536633
2020,148429300,162558291
2020,138923039,153016252
2020,138923039,153016251
2020,148433541,162554212
2020,148429357,162554237
2020,148433610,162558386
2020,148433638,162554346
2020,148429469,162554362
2020,148433662,162554370
2020,148429480,162558425
2020,148429526,162554412
2020,148429524,162558456
2020,148429566,162558485
2020,148429577,162558498
2020,148433766,162558534
2020,148433766,162554519
2020,148433794,162554571
2020,148433829,162554614
2020,148433832,162554623
2020,148433841,162554633
2020,148433854,162554658
2020,148429862,162554759
2020,148433917,162558695
2020,148429936,162554855
2020,148433963,162554861
2020,148433990,162558770
2020,148433990,162554894
2020,148434012,162554921
2020,148434140,162558915
2020,148430212,162555134
2020,148434195,162555201
2020,148434195,162555200
2020,148430289,162558987
2020,148430299,162555234
2020,148434252,162559031
2020,148430363,162555292
2020,148430426,162559098
2020,148434349,162559128
2020,148430635,162555580
2020,148434425,162555580
2020,148434451,162555613
2020,148434531,162555724
2020,148434532,162555724
2020,148434574,162559366
2020,148434628,162555855
2020,148434643,162559438
2020,134284967,148056088
2020,134288798,148061587
2020,134285433,148061587
2020,134285526,148061705
2020,134285691,148057590
2020,134285691,148057589
2020,134279963,148061948
2020,134289092,148057708
2020,134285918,148057769
2020,134280133,148062174
2020,134280352,148062443
2020,134289670,148058316
2020,134289670,148063005
2020,133538054,147373077
2020,133539088,147377406
2020,133539128,147373687
2020,133539442,147373927
2020,133535025,147374260
2020,133540312,147374695
2020,133536099,147375449
2020,133541099,147383853
2020,133536133,147383854
2020,133536435,147378944
2020,133536435,147375764
2020,133536835,147384664
2020,133536905,147384747
2020,133536918,147386310
2020,133531710,147384885
2020,133537326,147386732
2020,133537693,147387146
2020,134277497,148051576
2020,134270648,148051578
2020,134270652,148047733
2020,134277513,148051593
2020,134277523,148051599
2020,134270694,148047763
2020,134270703,148044084
2020,134265927,148044092
2020,134270710,148044094
2020,134270710,148051622
2020,134270723,148044116
2020,134270730,148044122
2020,134270733,148044126
2020,132977156,146821230
2020,132997968,146795727
2020,132997992,146795748
2020,132998089,146821369
2020,132998089,146813930
2020,132998146,146795936
2020,132998034,146813885
2020,132998182,146821488
2020,132998182,146821487
2020,148378571,162501759
2020,148374619,162501822
2020,148378632,162501842
2020,133534633,147373876
2020,133534632,147373875
2020,148374841,162498173
2020,133539915,147382622
2020,133535199,147377959
2020,133535199,147374453
2020,148374876,162502175
2020,148378950,162498241
