"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,5,136239906,0.7,1,16341555
2020,5,136235106,2,1,16343722
2020,5,136240082,1,11,16343735
2020,5,136240264,9,1,16341605
2020,5,136235318,2689.896,1,16343762
2020,5,136235430,4.2,1,16341654
2020,4,136240940,1.24,1,16341734
2020,5,136235856,2,1,16343861
2020,5,136241459,30,1,16341794
2020,12,136236234,1,11,16343911
2020,5,136236275,8,1,16343917
2020,2,136236337,5.6,1,16343932
2020,5,136241775,1,1,16343947
2020,12,136241864,1,11,16341850
2020,5,136236532,1,11,16343972
2020,5,136236613,7.5,1,16341890
2020,5,136236964,1,1,16344044
2020,2,136242784,1,1,16344084
2020,12,136237238,1,1,16344099
2020,5,136237377,2.45,1,16344117
2020,8,136243106,4,9,16344122
2020,12,136243117,1,1,16342041
2020,5,136237944,2.5,1,16344189
2020,5,136244671,34.9,1,16342213
2020,5,136244685,7.2,1,16342218
2020,5,136244711,2,1,16344261
2020,12,136244742,17,9,16344267
2020,5,136238707,1.5,1,16344291
2020,10,136238879,1,7,16344308
2020,5,136245341,1,11,16344311
2020,5,136245601,9.9,1,16342359
2020,5,136246048,1,11,16344385
2020,12,136239518,1.9,1,16344397
2020,5,129532577,1,1,15000404
2020,5,136243399,34.1,1,16344151
2020,1,136237905,1,11,16344185
2020,5,136238199,1,1,16342161
2020,5,136243459,131,1,16342083
2020,12,136238382,1.2,1,16342186
2020,5,136238535,1.7,1,16344271
2020,12,136238551,1,1,16344272
2020,12,136245013,0.5,1,16342276
2020,5,136246612,1,1,16347512
2020,12,136246645,1,1,16347521
2020,5,136250001,3,1,16344467
2020,13,136247025,3.25,9,16347590
2020,12,136247850,20,9,16344620
2020,5,136251009,2,1,16344626
2020,5,136248082,1,11,16347811
2020,5,136251395,1,11,16347849
2020,12,136251596,1,1,16344705
2020,5,136248866,2,1,16347895
2020,5,136252146,1,11,16347930
2020,12,136249496,1,11,16347955
2020,5,136255268,3,1,16348029
2020,5,136255321,1,11,16348039
2020,12,136255625,0.4,1,16344887
2020,5,136253358,6.7,1,16344893
2020,5,136253763,1.3,1,16344939
2020,1,136256363,0.4,1,16344961
2020,4,136256922,3,1,16348261
2020,12,136254317,2.9,1,16348277
2020,5,136257530,1,1,16348365
2020,5,136259788,4,1,16345128
2020,5,136257583,0.1,1,16345131
2020,15,136257784,1,11,16348418
