"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,41710721,1,42112962
2020,41710739,1,42112968
2020,41714976,1,42116201
2020,41714979,1,42112980
2020,41710750,1,42116194
2020,41714991,1,42112988
2020,41710775,1,42112989
2020,41715005,1,42116245
2020,37518385,1,37831131
2020,41710309,1,42115772
2020,41710343,1,42112655
2020,41703631,1,42111587
2020,41709003,1,42111615
2020,41709088,1,42109570
2020,41703770,1,42111733
2020,41709179,1,42109664
2020,41709232,1,42111785
2020,41709238,1,42109718
2020,41709267,1,42111801
2020,41709276,1,42111808
2020,41709300,1,42109782
2020,41703858,3,42111821
2020,41709294,7,42109776
2020,41709328,1,42109807
2020,41703955,22,42111932
2020,41709448,22,42109918
2020,41709424,1,42109900
2020,41709511,1,42114979
2020,41709518,1,42111988
2020,41703996,1,42114964
2020,41709543,1,42115005
2020,41704037,1,42112016
2020,41709582,1,42115026
2020,41709600,1,42115058
2020,41709607,1,42112038
2020,41709643,1,42115099
2020,41704132,1,42112118
2020,41704172,1,42115189
2020,41709742,1,42115198
2020,41704219,1,42112206
2020,41704251,4,42112238
2020,41704249,1,42112237
2020,41709831,1,42115294
2020,41704268,1,42112254
2020,41709832,1,42115286
2020,41704246,1,42112228
2020,41704270,1,42115302
2020,41704281,1,42112262
2020,41709788,1,42115250
2020,41704298,1,42115322
2020,41704292,1,42115320
2020,41704289,1,42112275
2020,41709871,7,42115330
2020,41704301,1,42115326
2020,41704310,1,42112297
2020,41704320,1,42115345
2020,41709888,1,42112304
2020,41709892,1,42115353
2020,41709891,1,42115352
2020,41709942,1,42115410
2020,41709930,1,42112347
2020,41704393,1,42112368
2020,41704389,1,42115421
2020,41709960,8,42115434
2020,41709933,1,42115401
2020,41704427,1,42112383
2020,41709992,1,42112387
2020,41710032,1,42115499
2020,41710020,1,42112423
2020,41710029,3,42115497
2020,41704473,1,42115526
2020,41704480,1,42112461
2020,41710073,1,42115537
2020,41704485,1,42112468
2020,41710086,1,42115547
2020,41704504,1,42112488
2020,41710097,1,42115559
2020,41704496,1,42112484
2020,41714528,1,42112513
2020,41710088,1,42115551
2020,41710157,1,42115617
2020,41710142,1,42112519
2020,41714554,1,42112540
2020,41710191,1,42115650
2020,41710212,1,42115668
2020,41714558,1,42115653
2020,41714561,1,42112546
2020,41710225,1,42115683
2020,41710247,1,42112580
2020,41710250,1,42112584
2020,37609986,1,37920397
2020,37521883,1,37814782
2020,37512521,1,37819636
2020,37512766,1,37825090
2020,37512767,1,37819888
2020,37518171,1,37823018
2020,37518170,1,37823017
2020,37518169,1,37823016
2020,37518172,1,37823019
2020,37522649,1,37825534
2020,37514119,1,37831235
2020,37519399,1,37824231
2020,37523944,1,37826834
2020,37519400,1,37824232
2020,37512789,1,37819911
2020,37512917,1,37830043
2020,37513649,1,37830760
2020,37518454,3,37831239
2020,37522921,1,37825801
2020,37514258,1,37831369
2020,37523125,1,37825998
2020,37523233,1,37823596
2020,37524612,1,37826140
2020,37524614,1,37826142
2020,37523255,1,37823610
2020,37524617,1,37823612
2020,37523269,1,37826160
2020,37518852,1,37823705
2020,37523364,1,37826260
2020,37525224,1,37832346
2020,37525223,1,37832345
2020,37615045,1,37925468
2020,37615202,1,37925631
2020,37610423,1,37920839
2020,37615209,1,37925638
2020,37605667,1,37916124
2020,37610426,1,37920841
2020,37610428,1,37920843
2020,37605669,1,37916126
2020,37605670,1,37916127
2020,37610430,1,37916128
2020,37605673,1,37916131
2020,37605675,1,37916134
2020,37605677,1,37916136
2020,37605676,1,37916135
2020,37610434,1,37920846
2020,37610435,7,37920847
2020,37610437,1,37920849
2020,37610439,1,37920851
2020,37610440,1,37916149
2020,37610441,1,37920852
2020,37610442,1,37916150
2020,37610443,1,37920853
2020,37605690,1,37916152
2020,37605689,1,37916151
2020,37610446,1,37916153
2020,37605691,1,37916154
2020,37605692,1,37916155
2020,37610448,1,37920858
2020,37610447,1,37920857
2020,37605694,1,37916156
2020,37610451,1,37920862
2020,37610452,1,37920863
2020,37610454,1,37920865
2020,37605696,1,37916157
2020,37610455,1,37920866
2020,37610456,1,37920867
2020,37610457,1,37920869
2020,37605701,1,37916161
2020,37615029,1,37925456
2020,37610144,1,37920562
2020,37512287,1,37819393
2020,37512818,1,37819931
2020,37518155,1,37823002
2020,37518163,1,37830794
2020,37518552,1,37825882
2020,37518577,1,37823425
2020,37518576,1,37823424
2020,37522875,1,37825757
2020,37514114,1,37823297
2020,37522971,1,37831344
2020,37523047,1,37823444
2020,37518626,1,37823477
2020,37518655,1,37826006
2020,37514468,1,37823524
2020,37524714,1,37831822
2020,37523417,1,37826314
2020,37519010,1,37823858
2020,37523684,1,37826591
2020,37525056,1,37832150
2020,37523693,1,37826598
2020,37523694,1,37826599
2020,37523704,1,37826608
2020,37525103,1,37823991
2020,37525108,1,37832205
2020,37523751,1,37832211
2020,37519274,1,37824113
2020,37525207,1,37826770
2020,37519375,1,37824211
2020,37609984,1,37920395
2020,37615012,1,37925436
2020,37615041,1,37925464
2020,37615040,3,37925463
2020,37615042,3,37925465
2020,37610191,1,37915964
2020,37610250,1,37920678
2020,37610353,1,37920772
2020,37610352,1,37920771
2020,37524702,1,37831808
2020,37518845,1,37823695
2020,37523339,2,37826227
2020,37523412,1,37823762
2020,37518909,1,37826309
2020,37525003,1,37832100
2020,37523764,1,37826674
2020,37519199,1,37826688
2020,37523855,1,37824145
2020,37523862,1,37826748
2020,37523918,1,37826804
2020,37525226,1,37832347
2020,37518111,1,37822958
2020,37518112,1,37822959
2020,37513652,1,37825478
2020,37513660,21,37830772
2020,37518148,1,37822995
2020,37518146,1,37822993
2020,37513677,1,37830788
2020,37518226,1,37823066
2020,37518471,1,37823317
2020,37518503,1,37823354
2020,37518505,1,37825828
2020,37518597,1,37831464
2020,37523067,1,37825945
2020,37514414,1,37825976
2020,37518646,1,37831564
2020,37518667,1,37826023
2020,37518906,1,37826305
2020,37519415,1,37824247
2020,37524015,1,37824319
2020,37529519,1,37824348
2020,37529517,1,37824346
2020,37523010,1,37823408
2020,37514481,7,37831596
2020,37523495,1,37826393
2020,37519023,1,37823873
2020,37525009,1,37823918
2020,37519099,1,37823943
2020,37523700,1,37826603
2020,37610178,1,37920600
2020,37610319,1,37920743
2020,37518165,1,37823012
2020,37518166,1,37823013
2020,37513687,1,37830799
2020,37522608,1,37823022
2020,37514063,1,37831175
2020,37522845,1,37831176
2020,37514069,1,37823264
2020,37514083,1,37831197
2020,37522935,22,37823334
2020,37518498,1,37831309
2020,37518582,1,37823429
2020,37518814,1,37826196
2020,37519017,1,37823865
2020,37519016,1,37823864
2020,37519202,1,37824036
2020,37605702,1,37916162
2020,37605704,1,37916164
2020,37605705,1,37916165
2020,37610458,1,37920870
2020,37605708,1,37916168
2020,37610461,1,37920873
2020,37610465,1,37920877
2020,37605711,3,37916171
2020,37610466,2,37920878
2020,37610467,7,37920879
2020,37529541,1,37824376
2020,37529545,1,37826950
2020,37615075,1,37925500
2020,37605508,1,37915959
2020,37605583,1,37916037
