"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2020,4,162530572
2020,4,162532334
2020,2,162530623
2020,4,162532386
2020,4,162530637
2020,4,162532478
2020,4,162532535
2020,4,162530934
2020,4,162531015
2020,4,162531037
2020,4,162532826
2020,4,162531160
2020,4,162536190
2020,4,162532899
2020,4,162536336
2020,4,162536402
2020,4,162536427
2020,4,162533001
2020,4,162533029
2020,4,162536600
2020,4,162533150
2020,4,162536629
2020,4,162536808
2020,4,162536810
2020,3,162536867
2020,4,162536897
2020,4,162536896
2020,4,162536915
2020,4,162533426
2020,4,162536966
2020,4,162536967
2020,4,162533526
2020,4,162537126
2020,4,162537125
2020,4,162533625
2020,4,162533688
2020,4,162537581
2020,4,162537550
2020,4,162537660
2020,4,162537745
2020,4,162534060
2020,4,162537917
2020,4,162534281
2020,4,162538013
2020,4,162534317
2020,4,162538107
2020,4,162538119
2020,4,162538121
2020,4,162538122
2020,4,162538130
2020,4,162538149
2020,4,162538169
2020,4,162538168
2020,4,162534381
2020,4,162534461
2020,4,162534459
2020,4,162534462
2020,4,162538240
2020,4,162534490
2020,4,162538244
2020,4,162534491
2020,4,162538302
2020,4,162534529
2020,4,162534546
2020,4,162534541
2020,4,162538419
2020,4,162538463
2020,4,162538550
2020,4,162538682
2020,4,162538796
2020,4,162538850
2020,4,162538915
2020,3,162538985
2020,3,162535067
2020,3,162535054
2020,3,162535053
2020,4,162539000
2020,4,162538980
2020,4,162535090
2020,4,162535142
2020,4,162539224
2020,4,162539225
2020,4,162539239
2020,4,162539315
2020,4,162539391
2020,4,162535367
2020,4,162539558
2020,4,162535589
2020,4,162539589
2020,4,162535720
2020,4,162539779
2020,4,162539780
2020,4,162535922
2020,4,162540181
2020,4,162536171
2020,4,162540288
2020,4,162536111
2020,4,162541249
2020,4,162540542
2020,4,162540559
2020,4,162540558
2020,4,162541328
2020,4,162540551
2020,4,162540611
2020,4,162541440
2020,4,162540657
2020,4,162540634
2020,4,162540799
2020,4,162541527
2020,4,162541077
2020,4,162546216
2020,4,162541963
2020,4,162542047
2020,3,162546459
2020,4,162546510
2020,4,162542114
2020,4,162542112
2020,4,162542128
2020,4,162546596
2020,4,162546556
2020,4,162542183
2020,4,162546694
2020,4,162542269
2020,4,162546806
2020,4,162542477
2020,4,162546924
2020,4,162542497
2020,4,162542531
2020,4,162547021
2020,4,162542602
2020,4,162547226
2020,4,162547349
2020,4,162547507
2020,4,162547557
2020,4,162543005
2020,4,162547610
2020,4,162547691
2020,4,162547705
2020,4,162543131
2020,4,162543217
2020,4,162543279
2020,4,162543290
2020,4,162548052
2020,4,162543364
2020,4,162548172
2020,4,162543531
2020,4,162543672
2020,4,162543673
2020,4,162543734
2020,4,162548656
2020,4,162548678
2020,4,162543910
2020,4,162548774
2020,4,162548775
2020,4,162548876
2020,4,162549010
2020,4,162544120
2020,4,162549022
2020,4,162549044
2020,4,162549084
2020,4,162544217
2020,4,162544275
2020,4,162549211
2020,4,162549291
2020,4,162549408
2020,4,162544445
2020,4,162544494
2020,4,162549760
2020,4,162549783
2020,4,162549787
2020,4,162549811
2020,4,162544823
2020,4,162544820
2020,4,162550030
2020,4,162545089
2020,4,162550199
2020,4,162550294
2020,4,162550357
2020,4,162545264
2020,4,162550427
2020,4,162545334
2020,4,162550527
2020,4,162550665
2020,4,162550812
2020,4,162550829
2020,4,162545627
2020,4,162545717
2020,4,162550962
2020,4,162551012
2020,4,162545790
2020,4,162545883
2020,4,162551312
2020,4,162551402
2020,4,162546116
2020,4,162546138
2020,4,162556186
2020,4,162551631
2020,4,162556296
2020,4,162551699
2020,4,162551723
2020,4,162552044
2020,4,162556741
2020,4,162552295
2020,4,162552432
2020,4,162552488
2020,4,162556983
2020,4,162557134
2020,4,162557179
2020,4,162557199
2020,4,162552839
2020,4,162552838
2020,4,162552862
2020,4,162557283
2020,4,162557311
2020,4,162557330
2020,4,162553076
2020,4,162553088
2020,4,162557428
2020,4,162553160
2020,4,162553332
2020,4,162557751
2020,4,162557924
2020,4,162553739
2020,4,162553791
2020,4,162553952
2020,4,162553990
2020,4,162554000
2020,4,162558228
2020,4,162558253
2020,4,162554142
2020,4,162558288
2020,4,162554215
2020,4,162554236
2020,4,162554247
2020,4,162554282
2020,4,162558435
2020,4,162558441
2020,4,162554415
2020,4,162558461
2020,4,162554476
2020,4,162554531
2020,4,162558574
2020,4,162554610
2020,4,162558673
2020,4,162558689
2020,4,162558690
2020,4,162558756
2020,4,162554905
2020,4,162558775
2020,4,162554997
2020,4,162555112
2020,4,162508301
2020,4,162508321
2020,4,162513647
2020,4,162513671
2020,4,162513871
2020,4,162513883
2020,4,162508544
2020,4,162513972
2020,4,162514005
2020,4,162514206
2020,4,162514234
2020,4,162514404
2020,4,162514417
2020,4,162508934
2020,4,162514916
2020,4,162509317
2020,4,162514984
2020,4,162514986
2020,4,162515067
2020,4,162515112
2020,4,162515111
2020,4,162515235
2020,4,162515230
2020,4,162509545
2020,4,162509589
2020,4,162515372
2020,4,162515584
2020,4,162515623
2020,4,162509849
2020,4,162509848
2020,4,162515716
2020,4,162509862
2020,4,162515797
2020,4,162515857
2020,1,162515970
2020,4,162516056
2020,4,162516089
2020,4,162516161
2020,4,162510261
2020,4,162516316
2020,4,162516452
2020,4,162510564
2020,4,162510595
2020,4,162516727
2020,4,162516731
2020,4,162510753
2020,4,162516806
2020,4,162516916
2020,4,162517058
2020,4,162510995
2020,4,162511004
2020,4,162517148
2020,4,162511037
2020,4,162517218
2020,4,162517238
2020,4,162517274
2020,4,162521184
2020,4,162517407
2020,4,162517519
2020,3,162517621
2020,4,162517627
2020,4,162521413
2020,4,162517711
2020,4,162517747
2020,4,162517780
2020,2,162521554
2020,4,162521581
2020,4,162517903
2020,4,162518021
2020,3,162521753
2020,4,162518329
2020,4,162518330
2020,4,162521957
2020,4,162518472
2020,4,162518659
2020,4,162518721
2020,4,162518947
