"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2020,136244058,38,1,,153017144
2020,136244069,20,70,,153017148
2020,136238104,63,1,,153017177
2020,136247847,16,1,,153026598
2020,136247847,47,0,,153026604
2020,136238096,63,300,,153018355
2020,136238114,30,1,,153018371
2020,136247847,55,1,,153026605
2020,136244093,19,167,,153017185
2020,136251279,10,,,153027078
2020,136238118,11,1,,153017199
2020,136244856,10,,,153023029
2020,136247847,66,1,,153026607
2020,136238118,10,,,153017176
2020,136238140,36,400,,153018404
2020,136238139,36,450,,153018402
2020,136244160,3,10000,,153017259
2020,136238138,26,625,,153018400
2020,136238138,63,325,,153018401
2020,136238216,63,10,,153018496
2020,136238218,27,60,,153018498
2020,136238218,63,1200,,153018500
2020,136238232,13,400,,153018524
2020,136238238,63,100,,153018532
2020,136244293,10,,,153022398
2020,136238260,29,300,,153018561
2020,136244319,63,1000,,153018558
2020,136238358,63,5000,,153018654
2020,136244605,20,600,,153022743
2020,136244617,36,2,,153022771
2020,136238470,3,1,,153018805
2020,136247847,63,1,,153026606
2020,136250992,13,50,,153026594
2020,136250992,63,50,,153026596
2020,136251051,6,29,,153021763
2020,136247928,6,29,30-DEC-20,153026672
2020,136247928,36,32,30-DEC-20,153021762
2020,136247928,8,37,30-DEC-20,153026674
2020,136251051,36,32,,153026714
2020,136247928,16,206,30-DEC-20,153021754
2020,136251051,16,206,,153026713
2020,136251051,8,37,,153026712
2020,136251069,16,480,,153021785
2020,136251084,63,1200,,153026753
2020,136247947,29,1,,153026738
2020,136247994,11,1,,153026776
2020,136247994,10,,,153026775
2020,136251133,63,10000,,153021842
2020,136248018,63,1,,153021843
2020,136251207,8,2,,153021932
2020,136248202,16,495,,153021983
2020,136248349,20,6422,,153027197
2020,136251345,38,800,,153027193
2020,136274774,63,350,,153052875
2020,136270556,10,,,153050624
2020,136274895,21,1,,153052971
2020,136270595,63,500,,153052996
2020,136274930,63,1000,,153050700
2020,136270718,38,80,,153050863
2020,128900005,10,,,143605939
2020,128743461,9,0,,143433538
2020,136244599,63,350,,153022752
2020,136244598,63,200,,153022751
2020,136238450,11,2,,153022798
2020,136244675,67,1,,153022835
2020,136238459,38,1450,,153018790
2020,136238549,19,15,,153022990
2020,136244788,6,48,,153022867
2020,136244788,19,9,,153022881
2020,136244788,63,118,,153018896
2020,136244788,23,165,,153022882
2020,136238561,9,0,,153022984
2020,136244785,9,0,18-AUG-20,153022965
2020,136244806,38,1000,,153022995
2020,136244817,4,2500,19-AUG-20,153022996
2020,136238559,4,2500,,153018913
2020,136244861,10,,,153023053
2020,136238593,38,1,,153018962
2020,136244887,35,50,,153023081
2020,136238620,8,4,,153018994
2020,136238570,16,240,,153018925
