"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,148355730,153333195,18,49011184
2020,148352598,153333315,1,49011212
2020,148356039,153338735,17,49019295
2020,148356071,153338754,3,49011247
2020,148352781,153338754,18,49019306
2020,148352804,153338803,1,49019316
2020,148358596,153334150,3,49019480
2020,148357704,153340742,1,49021687
2020,148357704,153345251,1,49021686
2020,148357704,153340743,18,49019865
2020,148357704,153345250,1,49021685
2020,148359995,153345441,3,49019928
2020,148362952,153341166,3,49021788
2020,148363873,153342337,3,49022031
2020,148363973,153342478,18,49020351
2020,148361481,153346654,18,49022109
2020,148364234,153342788,21,49020456
2020,148364236,153342788,25,49020457
2020,148364236,153346823,21,49022178
2020,148364234,153346823,25,49020455
2020,148364262,153346742,3,49022187
2020,148361900,153347007,3,49020520
2020,148361960,153347054,1,49020544
2020,148362005,153347094,1,49020570
2020,148362005,153343104,1,49020569
2020,148362786,153347665,19,49020916
2020,148362893,153344011,3,49020953
2020,148365393,153344327,24,49022697
2020,148365590,153348170,18,49021205
2020,148365590,153348171,16,49022793
2020,148365597,153348171,18,49021229
2020,148365597,153348170,16,49022797
2020,148369507,153349083,3,49026601
2020,148366683,153349222,21,49023175
2020,148369839,153349292,5,49026741
2020,148370134,153349546,18,49026853
2020,148370396,153351564,16,49026941
2020,148370731,153349951,5,49023469
2020,148367407,153349951,26,49027074
2020,148367512,153352016,3,49027130
2020,148367594,153352032,18,49027187
2020,148371043,153352159,3,49027198
2020,148371281,153352427,3,49027301
2020,148371345,153352390,25,49027323
2020,148367893,153352371,25,49023653
2020,148367893,153352390,9,49023654
2020,148371345,153352371,9,49027291
2020,148371598,153352717,18,49027411
2020,148371781,153355818,1,49027481
2020,148371782,153355818,1,49023784
2020,148371787,153355818,1,49027483
2020,148373081,153355692,16,49023729
2020,148371618,153355692,16,49023730
2020,148378416,153354550,1,49024220
2020,148374445,153354572,16,49024245
2020,148374498,153357096,1,49028091
2020,148378540,153357132,19,49024272
2020,148378539,153357132,17,49028116
2020,148374683,153357257,1,49024323
2020,148378939,153360090,3,49024390
2020,148374923,153357503,1,49028250
2020,148374936,153357516,1,49028258
2020,148379196,153357697,3,49024465
2020,148375312,153357881,18,49028428
2020,148379407,153357920,1,49024570
2020,148379406,153357920,25,49028435
2020,148379406,153360618,1,49028434
2020,148379407,153360618,25,49028437
2020,148375831,153361265,18,49028674
2020,148375673,153358222,16,49024690
2020,148375732,153358276,3,49028628
2020,148380106,153358491,3,49028710
2020,148376370,153358966,3,49024925
2020,148376594,153359204,17,49029042
2020,148381323,153359411,15,49029116
2020,148381537,153359600,9,49029184
2020,148381932,153363164,3,49029340
2020,148377713,153363690,16,49029523
2020,148377680,153363658,18,49025373
2020,148377696,153365314,18,49029506
2020,148377680,153365314,18,49025372
2020,148377696,153363658,18,49025377
2020,148377865,153365466,21,49029564
2020,148382785,153363997,26,49029621
2020,148382885,153364089,18,49029649
2020,148382863,153364056,13,49025464
2020,148387967,153365533,21,49025471
2020,148383159,153365801,1,49025501
2020,148388168,153364387,3,49029725
2020,148388533,153364758,3,49029866
2020,148388533,153364759,1,49025638
2020,148388945,153366478,16,49025732
2020,148388910,153366445,25,49025722
2020,148383821,153366446,25,49029988
2020,148388910,153366446,5,49025723
2020,148383821,153366445,17,49029974
2020,148388970,153370180,1,49029996
2020,148389180,153366604,3,49030075
2020,148384166,153370595,24,49025862
2020,148384284,153370765,15,49030188
2020,148384977,153367590,1,49030501
2020,148384982,153367590,24,49026114
2020,148385066,153371826,14,49026148
2020,148356131,153333633,9,49011263
2020,148356137,153333631,18,49011264
2020,148356393,153333908,1,49019375
2020,148356629,153334213,21,49019461
2020,148356694,153339557,18,49019478
2020,148356915,153339783,3,49019546
2020,148358913,153339876,18,49019572
2020,148356999,153339853,3,49021476
2020,148358976,153334645,5,49021496
2020,148358976,153334648,10,49019589
2020,148357109,153339971,18,49021510
2020,148359040,153340005,3,49019622
2020,148357408,153340354,3,49021600
2020,148359459,153345075,18,49019752
2020,148357711,153340785,18,49021689
2020,148359819,153345272,3,49019878
2020,148360010,153341043,1,49019939
2020,148360088,153341066,16,49019961
2020,148362987,153345601,3,49019985
2020,148360295,153341356,18,49020034
2020,148363272,153345814,18,49020095
2020,148363696,153342095,3,49021992
2020,148361251,153346488,3,49022030
2020,148364161,153342716,3,49022139
2020,148361651,153346795,3,49020447
2020,148362343,153347344,18,49020733
2020,148364751,153343440,18,49020734
2020,148364751,153343439,10,49020731
2020,148364754,153343439,18,49020761
2020,148364754,153343440,11,49020762
2020,148364773,153343356,24,49022411
2020,148362398,153343356,24,49020683
2020,148364771,153343356,24,49022410
2020,148364823,153343502,18,49020796
2020,148364838,153343502,3,49022439
2020,148364838,153343501,18,49020797
2020,148364823,153343501,3,49020795
2020,148368118,153344228,24,49021046
2020,148368118,153344230,24,49021047
2020,148365364,153344280,1,49022681
2020,148368203,153344324,18,49021090
2020,148365658,153344659,21,49022815
2020,148365855,153344921,1,49022877
2020,148369121,153350286,3,49022979
2020,148366174,153350343,18,49022999
2020,148366276,153350465,17,49023040
2020,148366362,153350546,3,49023067
2020,148369370,153350561,9,49026559
2020,148369763,153349270,3,49026701
2020,148370672,153351643,16,49027041
2020,148367352,153351643,24,49023445
2020,148367362,153351643,24,49023448
2020,148367330,153351643,1,49023436
2020,148370611,153351643,1,49027018
2020,148370610,153351643,1,49027016
2020,148367305,153351643,1,49027019
2020,148370997,153355204,18,49023554
2020,148371321,153352459,17,49027320
2020,148372933,153352534,16,49027348
2020,148371804,153355830,19,49027486
2020,148373441,153353218,3,49027578
2020,148378039,153356745,21,49027928
2020,148374208,153356824,21,49024157
2020,148378428,153356979,25,49028055
2020,148378427,153356979,3,49028053
2020,148378427,153356977,25,49028052
2020,138933240,143786855,3,44804687
2020,138934106,143806101,1,44816880
2020,149581856,154569888,3,49550221
2020,149583196,154569871,16,49554513
2020,149583226,154569871,16,49550225
2020,149581962,154569961,24,49550277
2020,149581961,154569961,24,49550276
2020,149581969,154569967,16,49550284
2020,149583385,154572930,18,49554610
2020,149582324,154575560,16,49554861
2020,149583903,154575560,16,49554865
2020,134279594,139054593,3,42643518
2020,134293062,139066535,21,42649148
2020,134293365,139071541,3,42649278
2020,134293991,139076328,18,42649547
2020,134293991,139067335,25,42649546
2020,134298069,139067335,18,42649549
2020,134298069,139076328,25,42644766
2020,134294166,139072482,1,42652650
2020,148414653,153396071,24,49040750
2020,148414709,153393609,3,49040768
2020,148414785,153393716,3,49040786
2020,148410838,153396224,1,49035332
2020,148411088,153396552,14,49035407
2020,148411099,153396584,21,49035413
2020,148415150,153396592,15,49040908
2020,148415223,153396637,1,49040930
2020,148415287,153394075,3,49040955
2020,148415448,153396887,25,49041030
2020,148411356,153396889,25,49035504
2020,148415448,153396889,15,49041031
2020,148411356,153396887,15,49035503
2020,148415799,153394525,21,49041197
2020,148415961,153394658,24,49041274
2020,148411802,153397477,21,49035677
2020,148411810,153397388,18,49035681
2020,148411810,153397387,18,49041267
2020,148416051,153394689,16,49041304
2020,148416105,153397605,5,49035730
2020,148416126,153397605,5,49041330
2020,148416207,153394849,3,49041369
2020,148416292,153394933,24,49041398
