"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,41710443,134971604,2,28-MAY-20,3,"C",16,5,20,"M",2,2,"N","","",20,0
2020,41710432,134971604,1,28-MAY-20,3,"C",16,5,27,"M",2,2,"N","","",27,0
2020,41699886,134943330,1,05-AUG-20,1,"N",27,5,30,"M",2,2,"R","","",30,0
2020,41699105,134943467,1,05-SEP-20,2,"N",39,5,57,"M",1,2,"R","","",57,0
2020,41699126,134943497,1,18-JUN-20,1,"C",51,5,16,"M",1,2,"R","R","",16,0
2020,41713204,134988123,1,21-OCT-20,3,"N",51,5,25,"M",1,2,"N","","",25,0
2020,41713468,134992654,1,11-JUN-20,1,"C",51,5,38,"M",1,2,"R","","",38,0
2020,41717180,134989062,1,28-SEP-20,1,"N",35,5,52,"F",1,2,"R","","",52,0
2020,41717184,134989070,1,28-DEC-20,3,"N",51,5,19,"M",2,2,"N","","",19,0
2020,41699169,134946605,1,10-AUG-20,1,"N",23,5,41,"M",2,2,"N","","",41,0
2020,41700068,134946841,1,20-JUN-20,1,"C",39,5,46,"M",1,2,"R","","",46,0
2020,41699308,134946916,1,01-NOV-20,1,"N",16,5,30,"M",1,1,"N","","",30,0
2020,41700093,134943892,1,21-OCT-20,1,"N",16,5,33,"M",2,2,"R","","",33,0
2020,41717219,134992951,1,29-JUN-20,1,"N",14,5,18,"M",2,2,"R","","",18,0
2020,41713562,134989289,1,24-JUN-20,1,"C",21,5,20,"M",1,1,"R","","",20,0
2020,41713621,134989446,1,01-APR-20,1,"C",51,5,34,"M",1,2,"R","","",34,0
2020,41717415,134989972,1,15-JAN-20,2,"N",45,5,32,"M",2,2,"R","","",32,0
2020,41717485,134990249,1,22-NOV-20,1,"C",16,5,30,"F",2,2,"R","","",30,0
2020,41713960,134990280,1,23-NOV-20,2,"C",16,5,51,"M",2,2,"R","","",51,0
2020,41717533,134990424,1,04-JUL-20,1,"C",27,5,54,"M",2,2,"R","","",54,0
2020,41717580,134990565,1,28-JAN-20,2,"N",45,5,24,"M",2,2,"N","","",24,0
2020,41827715,135422112,1,20-AUG-20,1,"N",27,5,40,"M",1,2,"R","","",40,0
2020,41831285,135422236,1,07-OCT-20,2,"N",45,5,36,"F",1,2,"U","","",36,0
2020,41827808,135422248,1,11-OCT-20,2,"N",47,5,44,"M",2,2,"U","","",44,0
2020,41827809,135422248,2,11-OCT-20,2,"N",47,5,41,"F",2,2,"U","","",41,0
2020,41701023,134949537,1,27-DEC-20,1,"N",51,5,28,"F",2,2,"R","","",28,0
2020,41701189,134951251,1,01-DEC-20,1,"N",39,5,42,"M",2,2,"R","","",42,0
2020,41701190,134951251,2,01-DEC-20,1,"N",39,5,32,"M",2,2,"R","","",32,0
2020,41705708,134951297,1,21-JUL-20,2,"N",5,5,33,"M",1,2,"R","","",33,0
2020,41705721,134951311,1,12-JAN-20,1,"N",51,5,16,"M",2,2,"R","R","",16,0
2020,41705816,134950368,1,05-OCT-20,1,"N",23,5,28,"M",1,2,"N","","",28,0
2020,41701290,134951580,1,17-JAN-20,2,"N",16,5,51,"M",2,2,"N","","",51,0
2020,41705857,134951604,1,12-DEC-20,2,"N",49,5,25,"M",1,2,"R","","",25,0
2020,41705878,134951604,2,12-DEC-20,2,"N",49,5,27,"M",1,2,"N","","",27,0
2020,41705859,134951647,1,07-OCT-20,1,"N",27,5,38,"M",1,2,"R","","",38,0
2020,41701363,134951748,1,07-OCT-20,1,"N",51,5,25,"M",2,2,"R","","",25,0
2020,41701365,134951748,2,07-OCT-20,1,"N",27,5,21,"F",2,3,"R","","",21,0
2020,41701459,134950819,1,18-APR-20,3,"M",51,5,43,"M",1,2,"","","",43,0
2020,41706250,134952330,1,19-OCT-20,2,"N",23,5,28,"F",2,2,"N","","",28,0
2020,41701726,134952507,1,11-AUG-20,1,"N",16,5,29,"M",1,2,"N","","",29,0
2020,41701804,134952674,1,23-SEP-20,2,"N",49,5,25,"M",2,3,"U","","",25,0
2020,41701833,134952741,1,20-DEC-20,1,"N",45,5,33,"M",1,2,"R","","",33,0
2020,41701928,134953018,1,31-DEC-20,2,"N",16,5,26,"M",1,2,"N","","",26,0
2020,41701967,134953142,1,26-DEC-20,1,"N",51,5,46,"M",1,2,"R","","",46,0
2020,41702001,134953191,1,01-SEP-20,1,"N",44,5,59,"M",2,2,"N","","",59,0
2020,41706775,134957503,1,21-JUN-20,1,"N",16,5,39,"F",2,2,"N","","",39,0
2020,41706687,134957512,2,27-DEC-20,2,"N",16,5,24,"F",2,2,"R","","",24,0
2020,41706685,134957512,1,27-DEC-20,2,"N",16,5,29,"M",2,2,"R","","",29,0
2020,41706782,134957549,1,06-OCT-20,1,"N",51,5,21,"F",1,2,"N","","",21,0
2020,41702046,134953293,1,11-MAR-20,1,"N",16,5,33,"F",1,2,"R","","",33,0
2020,41702062,134953313,1,25-JUN-20,2,"N",23,5,35,"F",2,2,"R","","",35,0
2020,41702166,134953531,1,27-OCT-20,2,"N",23,5,54,"M",1,2,"R","","",54,0
