"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2020,136248671,134970842,7,,
2020,136248720,134970881,7,,
2020,136251828,134970914,1,,
2020,136248778,134972566,7,,
2020,136248841,134972650,4,,
2020,136251901,134971006,7,,
2020,136248869,134971006,1,,
2020,136248855,134972653,7,,
2020,136248880,134972675,7,,
2020,136248922,134971046,7,,
2020,136249066,134972864,4,,
2020,136252066,134972886,4,,
2020,136249112,134972908,7,,
2020,136252096,134972930,4,,
2020,136252120,134972951,5,,
2020,136252122,134972951,7,,
2020,136249208,134976252,7,,
2020,136252149,134972978,7,,
2020,136252207,134976301,7,1,
2020,136249276,134976301,5,,1
2020,136249274,134976301,4,,
2020,136252232,134976331,7,,
2020,136252254,134976357,6,,
2020,136252295,134976404,6,,
2020,136252320,134973243,4,,
2020,136252544,134976670,6,,
2020,136252326,134976455,7,,
2020,136252344,134976457,7,,
2020,136252592,134976735,4,,
2020,136252383,134976494,5,,1
2020,136252384,134976494,7,1,
2020,136249505,134976517,4,,
2020,136252431,134973368,7,,
2020,136249532,134973368,5,,
2020,136252456,134973434,7,,
2020,136252496,134976620,7,,
2020,136252506,134976634,7,,
2020,136236427,134959766,6,,
2020,136241875,134955021,7,,
2020,136241898,134955040,7,,
2020,136236522,134959910,6,,
2020,136241951,134959917,7,,
2020,136241994,134959980,7,,
2020,136236577,134960014,4,,
2020,136242028,134960035,7,,
2020,136242181,134960213,7,,
2020,136236763,134960282,7,,
2020,136242528,134960635,7,,
2020,136242637,134960731,7,,
2020,136237055,134960731,5,,
2020,136242607,134960731,4,,
2020,136237103,134955766,7,,
2020,136242865,134960942,7,,
2020,136237314,134955978,7,,
2020,136242964,134955981,7,,
2020,136242963,134955981,4,,
2020,136243032,134961093,7,,
2020,136243031,134961093,5,,
2020,136243038,134956032,7,,
2020,136237546,134966245,7,1,
2020,136243290,134961379,4,,
2020,136243293,134961379,6,,
2020,136243358,134966323,7,,
2020,136243522,134966418,7,,
2020,136243504,134966431,6,,
2020,136237732,134961693,7,,
2020,136237686,134966464,6,,
2020,136237846,134961863,7,,
2020,136243752,134961863,5,,
2020,136243754,134961863,6,,
2020,136243825,134966657,7,,
