data_year,weapon_id,offense_id,nibrs_weapon_id
2022,41,195368702,
2022,41,195368695,
2022,3,181273644,
2022,42,181273641,
2022,38,181273643,
2022,42,181273639,
2022,39,192073829,
2022,38,192070674,
2022,3,192071126,
2022,5,192071126,
2022,41,192074094,
2022,3,192073802,
2022,41,192073892,
2022,3,192071513,
2022,21,192071303,
2022,39,192074037,
2022,39,192071384,
2022,5,192073711,
2022,39,192073695,
2022,38,192074117,
2022,7,192072287,
2022,41,192072388,
2022,41,192072016,
2022,7,192072290,
2022,38,192073837,
2022,39,192072549,
2022,41,192073726,
2022,38,192072684,
2022,39,201504624,
2022,7,192073757,
2022,3,192073821,
2022,3,192074096,
2022,5,192074096,
2022,38,192072714,
2022,39,192072573,
2022,39,192073041,
2022,41,192073514,
2022,39,196991577,
2022,39,192073747,
2022,38,192073688,
2022,39,192073523,
2022,38,192073767,
2022,39,192074084,
2022,39,192073827,
2022,41,192073948,
2022,39,193741023,
2022,7,193741010,
2022,38,196991562,
2022,39,196991595,
2022,21,196991558,
2022,39,196991557,
2022,7,201504639,
2022,5,196991580,
2022,5,196991581,
2022,39,193741022,
2022,31,196991570,
2022,39,196991578,
2022,41,181279774,
2022,4,180306642,
2022,41,181279826,
2022,41,187426610,
2022,41,180305853,
2022,38,180306075,
2022,41,181280121,
2022,38,180306868,
2022,41,181279813,
2022,41,181280023,
2022,38,180306869,
2022,41,180306100,
2022,41,180306126,
2022,7,180306627,
2022,38,180306070,
2022,41,180306654,
2022,38,180306688,
2022,41,180305926,
2022,38,180307002,
2022,41,180305925,
2022,41,181279758,
2022,41,181280077,
2022,41,181279957,
2022,38,180306503,
2022,1,181280189,
2022,41,181279995,
2022,39,180306262,
2022,41,180306151,
2022,41,187426121,
2022,41,180306419,
2022,41,180306351,
2022,41,181279949,
2022,31,180306653,
2022,41,181279858,
2022,41,180306042,
2022,38,181279888,
2022,41,181280123,
2022,41,187426087,
2022,41,181279940,
2022,1,181280042,
2022,41,181279827,
2022,8,181279951,
2022,41,181280035,
2022,4,181279856,
2022,41,181279895,
2022,1,181279814,
2022,41,181279803,
2022,3,181279819,
2022,41,181280191,
2022,41,181280190,
2022,4,181279927,
2022,41,181279853,
2022,41,181279963,
2022,41,181279836,
2022,41,189158665,
2022,41,180306650,
2022,41,180306088,
2022,42,180306074,
2022,41,180306994,
2022,3,180305825,
2022,21,181279799,
2022,41,181279976,
2022,3,181279962,
2022,21,187426164,
2022,38,187426164,
2022,41,181279994,
2022,38,181279971,
2022,41,181280012,
2022,41,181280044,
2022,39,181280101,
2022,38,181280062,
2022,4,181280156,
2022,41,181279956,
2022,4,181279830,
2022,41,181280116,
2022,3,181279921,
2022,41,181279932,
2022,38,181280079,
2022,41,181280108,
2022,41,181279843,
2022,9,181279875,
2022,38,181280000,
2022,21,181279972,
2022,41,181280006,
2022,41,181280143,
2022,41,181279772,
2022,3,181280132,
2022,2,181280085,
2022,41,181280065,
2022,41,181279818,
2022,41,180306964,
2022,41,180306500,
2022,41,180305956,
2022,41,181280063,
2022,38,181280011,
2022,41,181280058,
2022,4,181279929,
2022,21,181280046,
2022,41,181279880,
2022,41,181280069,
2022,38,181279754,
2022,41,181280141,
2022,41,181280144,
2022,42,181279797,
2022,38,181280133,
2022,41,181280134,
2022,41,181280081,
2022,41,181279883,
2022,21,181279837,
2022,41,181280177,
2022,41,181279834,
2022,3,181279779,
2022,41,181279909,
2022,41,181279905,
2022,41,182765025,
2022,41,182764961,
2022,7,182765284,
2022,41,182765307,
2022,3,182765072,
2022,41,182765136,
2022,42,182765137,
2022,41,182765175,
2022,41,182765001,
2022,41,182764982,
2022,41,182765361,
2022,38,180305845,
2022,41,182765251,
2022,7,182765312,
2022,41,180306421,
2022,39,180306804,
2022,41,180306767,
2022,38,182765314,
2022,42,182765089,
2022,38,180306687,
2022,3,180306057,
2022,41,182765090,
2022,41,182765088,
2022,41,180306953,
2022,41,182765377,
2022,41,182765243,
2022,41,182764942,
2022,41,182765192,
2022,41,182765367,
2022,38,182765367,
2022,41,182765105,
2022,41,182765267,
2022,21,182765213,
2022,39,182765232,
2022,41,182765185,
2022,38,182764977,
2022,41,182765270,
2022,3,182765133,
