data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,5,163221984,1.000,1,14759415
2022,12,163222225,0.400,1,14759443
2022,1,163222108,1.000,1,14759426
2022,5,152301636,2.900,1,13229466
2022,16,152300412,3.000,9,13229391
2022,5,152300439,1.230,1,13229393
2022,5,152300943,1.000,11,13229425
2022,5,153624336,1.500,1,13434655
2022,5,163222111,21.000,1,14759427
2022,5,152301216,1.000,1,13229440
2022,12,163239900,1.000,1,14761318
2022,5,163239618,4.000,1,14761294
2022,8,163239694,2.000,9,14761300
2022,1,152300830,2.260,1,13229410
2022,5,152301991,0.500,1,13229489
2022,5,163239888,1.000,3,14761317
2022,5,153624306,1.000,1,13434652
2022,2,163239770,6.200,1,14761307
2022,12,163239724,2.000,3,14761302
2022,5,152301265,7.900,1,13229446
2022,5,163239935,1.000,9,14761324
2022,5,153626158,5.000,3,13434757
2022,8,163239616,7.000,9,14761293
2022,5,163239743,58.000,1,14761304
2022,5,152300873,1.270,1,13229414
2022,5,152300932,0.100,1,13229423
2022,5,153624671,3.000,1,13434675
2022,5,153625284,7.000,1,13434699
2022,12,163239977,1.000,11,14761327
2022,8,163239690,3.000,9,14761299
2022,5,156055919,1.000,1,13789615
2022,5,163239824,5.700,1,14761313
2022,5,163239984,14.000,1,14761328
2022,12,163239814,10.500,1,14761312
2022,4,163239807,1.600,1,14761311
2022,5,163239791,1.000,11,14761309
2022,5,163239939,1.000,3,14761325
2022,12,163239654,59.000,1,14761295
2022,12,163239805,3.500,1,14761310
2022,12,163239989,1.000,11,14761329
2022,5,163239751,26.800,1,14761305
2022,5,163239831,1.000,1,14761314
2022,12,163239789,1.000,1,14761308
2022,4,163645564,1.000,1,14822781
2022,5,152301732,0.100,1,13229474
2022,5,153624561,35.800,1,13434670
2022,2,153624984,0.500,1,13434686
2022,5,153625977,3.200,1,13434747
2022,1,153624731,1.300,1,13434679
2022,5,153626091,1.000,1,13434754
2022,1,163645719,1.000,1,14822801
2022,2,163645655,0.800,1,14822792
2022,4,163645543,22.330,1,14822776
2022,5,153625198,5.400,1,13434692
2022,5,153624288,28.410,1,13434650
2022,1,153624835,2.000,1,13434684
2022,5,153625944,2.520,1,13434745
2022,5,153624134,2.520,1,13434643
2022,8,153625189,8.000,9,13434690
2022,5,153624281,2.700,1,13434649
2022,5,153626241,16.000,1,13434763
2022,5,153626048,2.300,1,13434751
2022,5,153625276,2.000,1,13434698
2022,16,153625817,1.550,1,13434738
2022,4,153625515,97.100,1,13434720
2022,4,153625482,0.820,1,13434714
2022,5,153626246,5.700,1,13434764
2022,8,153625942,1.000,11,13434744
2022,5,153625211,92.000,1,13434693
2022,5,153624192,1.000,3,13434645
2022,5,163645535,2.100,1,14822774
2022,5,153625089,30.000,1,13434688
2022,5,153625521,1.190,1,13434721
2022,5,153626074,0.800,1,13434753
2022,5,153624778,200.000,1,13434682
2022,16,163645653,16.000,9,14822791
2022,5,163645614,22.000,1,14822784
2022,5,163645628,5.000,9,14822787
2022,12,163645681,1.000,1,14822796
2022,8,163645664,4.000,9,14822793
2022,4,163645536,1.240,1,14822775
2022,12,163645618,60.000,1,14822785
2022,5,163645551,3.500,1,14822778
2022,5,163645645,16.600,4,14822790
2022,1,163645589,3.000,1,14822783
2022,5,163645704,4.000,1,14822800
2022,5,163646578,1.000,11,14822929
2022,5,153624580,6.800,1,13434673
2022,5,153624339,7.800,1,13434656
2022,5,153625621,1.000,1,13434728
2022,5,153625500,1.000,1,13434716
2022,5,163168573,26.000,1,14753474
2022,16,153626232,473.000,9,13434762
2022,5,153626027,0.970,1,13434749
2022,5,153626136,78.100,1,13434756
2022,5,153624395,7.000,1,13434661
2022,5,153625656,36.200,1,13434730
2022,5,153625488,1.000,1,13434715
2022,5,153625674,2.250,1,13434732
2022,8,153624471,3.000,9,13434665
