data_year,victim_id,injury_id
2022,166008268,4
2022,165997731,5
2022,166008267,5
2022,165997717,5
2022,165998517,4
2022,165998494,5
2022,165998495,5
2022,165998106,4
2022,167434401,5
2022,165997616,5
2022,165997617,5
2022,165997525,4
2022,165997526,5
2022,169401500,4
2022,165998035,5
2022,165998364,5
2022,169401490,4
2022,169401499,4
2022,165998337,4
2022,165998272,4
2022,171225014,4
2022,165998485,5
2022,171225017,4
2022,171225012,4
2022,171225011,1
2022,173015105,4
2022,173015109,4
2022,173438144,4
2022,165998295,5
2022,165997793,4
2022,165998093,4
2022,165997857,5
2022,173438146,4
2022,165998145,5
2022,165998237,5
2022,165998455,4
2022,165997819,5
2022,173438141,4
2022,173438138,5
2022,175436492,4
2022,175436481,1
2022,176432536,4
2022,165997636,5
2022,165997585,4
2022,176432535,4
2022,165998055,7
2022,165997976,4
2022,165998026,5
2022,165997818,5
2022,165997824,4
2022,178102303,4
2022,165998233,5
2022,165998234,5
2022,165998235,5
2022,178102304,4
2022,179894127,4
2022,165997613,5
2022,179894129,5
2022,179894124,4
2022,181013760,4
2022,165997891,5
2022,181013764,4
2022,181013774,4
2022,181013767,4
2022,166957527,5
2022,166957524,5
2022,166957526,5
2022,166957522,5
2022,177728379,4
2022,165998100,4
2022,165998101,4
2022,165997865,4
2022,165997554,4
2022,165997805,4
2022,183998936,5
2022,183998937,5
2022,165997864,4
2022,165998254,5
2022,165998297,4
2022,165998470,5
2022,165998072,5
2022,165998392,4
2022,165998004,5
2022,165998005,5
2022,165998006,5
2022,165997634,5
2022,165997520,5
2022,177724965,4
2022,165998080,5
2022,165998081,5
2022,165997603,5
2022,177725449,5
2022,165997649,4
2022,165997649,8
2022,165997647,4
2022,165998069,4
2022,165998223,5
2022,165998003,5
2022,165998477,4
2022,165998054,5
2022,165997875,5
2022,165998114,5
2022,165998354,5
2022,165998259,5
2022,165998170,4
2022,165997521,4
2022,165997726,5
2022,165997727,4
2022,165997541,5
2022,165997946,4
2022,177725450,5
2022,177728658,5
2022,165998049,4
2022,165998225,4
2022,165997663,5
2022,165997879,5
2022,165998462,4
2022,177728353,5
2022,165997511,5
2022,165997797,5
2022,165997831,5
2022,165997832,4
2022,177728446,5
2022,177725645,3
2022,165997539,5
2022,165998143,5
2022,165997740,4
2022,165997937,5
2022,165997919,5
2022,177728600,5
2022,177725727,5
2022,165998358,4
2022,165998359,5
2022,177728230,4
2022,165997792,5
2022,165997491,4
2022,165997492,5
2022,165997758,5
2022,165998202,4
2022,165998140,4
2022,165998289,4
2022,165998290,5
2022,177728678,5
2022,177726705,5
2022,165998152,4
2022,177726814,4
2022,177726419,5
2022,165997564,4
2022,165997565,4
2022,165998478,6
2022,165997712,5
2022,165997981,5
2022,177726709,5
2022,177728388,4
2022,177726982,4
2022,165997631,5
2022,165998422,5
2022,165998472,4
2022,165998472,8
2022,165998510,1
2022,177728268,5
2022,177727128,5
2022,187137105,5
2022,165998442,5
2022,165998310,4
2022,165997766,4
2022,165997951,5
2022,165997952,4
2022,165998436,5
2022,165997923,4
2022,165998424,5
2022,177728304,5
2022,177728371,5
2022,165997755,4
2022,165998058,4
2022,165998480,5
2022,165997826,4
2022,165997827,5
2022,165998461,5
2022,165998271,4
2022,165997820,5
2022,177728659,4
2022,177727160,4
2022,177727006,4
2022,177727515,4
2022,165998498,5
2022,165998238,5
2022,165997555,8
2022,165997556,4
2022,165998134,4
2022,165998306,5
2022,165998146,4
2022,165998147,4
2022,165997876,5
2022,165997928,5
2022,165997905,1
2022,165997906,5
2022,165997838,2
2022,165997834,5
2022,165997835,5
2022,177727516,4
2022,177728020,5
2022,165997877,5
2022,165997878,5
2022,165997851,5
2022,165997761,4
2022,165997769,4
2022,165997770,4
2022,165997734,5
2022,165998074,5
2022,165998456,4
2022,177728021,5
2022,177728295,5
2022,165997789,5
2022,165998387,5
2022,177728223,5
2022,177728030,4
2022,177728313,4
2022,177728649,4
2022,177728377,5
2022,165998400,5
2022,165998612,5
2022,177728504,5
2022,179385797,4
2022,165998787,5
2022,179385788,5
2022,182633797,4
2022,182633829,4
2022,165998972,5
2022,182633793,3
2022,182633792,5
2022,187137121,5
2022,187137122,5
2022,182633814,5
2022,182633815,5
2022,179385796,4
2022,182633805,5
2022,165999070,5
2022,182633812,4
2022,166963399,4
2022,165998937,5
2022,165998562,5
2022,165999181,8
2022,165998825,5
2022,165998707,4
2022,165999271,5
2022,165999024,5
2022,165998856,6
2022,165998837,5
2022,165998556,5
2022,165998530,5
2022,165998531,5
2022,165998949,4
2022,165998923,5
2022,165998924,4
2022,165999149,4
2022,165999408,5
2022,165998858,4
2022,165999202,5
2022,165998688,5
2022,165998979,5
2022,165998710,4
2022,165999100,5
2022,165999146,5
2022,165999180,5
2022,165998948,5
2022,165998605,4
2022,166963448,4
2022,173089484,4
2022,165998927,5
2022,165998705,4
2022,165998895,4
2022,173089485,4
2022,173089486,4
2022,166963724,5
2022,166963435,5
2022,166963629,5
2022,166963386,5
2022,166963681,4
2022,166963567,5
2022,166963568,5
2022,166963791,6
2022,166963792,6
2022,166963793,5
2022,166963604,4
2022,173088992,4
2022,165999297,5
2022,173088993,4
2022,166963561,4
2022,166963483,5
2022,166963511,5
2022,166963512,5
2022,166963726,5
2022,166963727,5
2022,173088957,5
2022,166963554,4
2022,166963646,5
2022,166963449,5
2022,166963639,4
2022,166963519,5
2022,166963520,5
2022,166963436,5
2022,166963437,5
2022,166963438,5
2022,166963439,5
2022,166963424,5
2022,166963796,4
2022,166963797,4
2022,166963794,5
2022,166963795,5
2022,166963478,4
2022,166963479,4
2022,166963574,4
2022,166963457,4
2022,165998748,4
2022,166963458,5
2022,174821593,5
2022,165999159,5
2022,165999103,5
2022,165998742,4
2022,165998743,4
2022,166963421,5
2022,166963587,5
2022,166963573,5
2022,173089046,4
2022,173089047,4
2022,166963603,4
2022,166963582,4
2022,166963618,4
2022,166963648,5
2022,166963665,4
2022,166963759,3
2022,166963565,4
2022,166963566,4
2022,166963719,5
2022,166963548,5
2022,166963683,5
2022,166963710,4
2022,166963467,5
2022,166963497,5
2022,166963498,5
2022,166963499,5
2022,166963500,5
2022,166963607,5
2022,166963583,5
2022,166963612,5
2022,166963748,4
2022,166963397,8
2022,166963736,5
2022,166963689,4
2022,166963669,5
2022,166963442,5
2022,165999433,4
2022,165998849,5
2022,166963666,4
2022,166963667,4
2022,166963662,5
2022,166963650,4
2022,166963504,4
2022,166963673,4
2022,166963674,5
2022,166963382,4
2022,166963745,5
2022,166963749,4
2022,166963737,4
2022,166963738,4
2022,166963685,4
2022,166963506,4
2022,166963507,4
2022,166963459,4
2022,166963460,4
2022,166963778,4
2022,166963454,4
2022,166963455,5
2022,166963531,5
2022,166963528,5
2022,168440622,4
2022,168440623,5
2022,168440561,4
2022,165998781,4
2022,168440562,5
2022,168440867,5
2022,168440883,5
2022,168440884,5
2022,168440667,5
2022,168440725,4
2022,168440726,5
2022,168440760,5
2022,168440596,5
2022,168440579,4
2022,165998643,5
2022,168440939,5
2022,168440834,5
2022,168440889,5
2022,168440683,4
2022,168440682,2
2022,168440954,5
2022,168440826,4
2022,168440546,5
2022,168440778,4
2022,168440779,4
2022,168440945,6
2022,168440697,4
2022,168440850,4
2022,168440851,5
2022,168440797,5
2022,168440816,5
2022,168440771,4
2022,168440575,5
2022,168440852,5
2022,168440853,5
2022,168440732,4
2022,168440733,4
2022,168440637,4
2022,168440814,4
2022,168440567,5
2022,168440666,5
2022,168440716,3
2022,168440811,4
2022,168440812,5
2022,168440685,5
2022,168440828,3
2022,168440829,5
2022,168440799,4
2022,168440612,5
2022,168440613,5
2022,168440614,5
2022,168440615,5
2022,168440865,5
2022,168440866,5
2022,168440632,5
2022,165998597,4
2022,168440836,1
2022,168440641,4
2022,168440542,4
2022,165999034,5
